Commit Hash,HIGH Confidence Issues,MEDIUM Confidence Issues,LOW Confidence Issues,HIGH Severity Issues,MEDIUM Severity Issues,LOW Severity Issues,Unique CWEs
c4f3cd7225efd4f85451bd8b4a7646ae9a092420,0,0,0,0,0,0,None
86094d690d1004f3aa11c249261e15c253420318,0,0,0,0,0,0,None
c999505ef6b43be1c4ee36aa04ad979175178352,0,0,0,0,0,0,None
867869afd73fe7b91d7cf736a667c380a94d82de,0,0,0,0,0,0,None
7ad5f6a64b49e55abc6fd499c1b7c5b4829cb2a9,0,0,0,0,0,0,None
e9d090e924c85c0bd0af36edfd802e6dd721caa8,0,0,0,0,0,0,None
551abd53ccdb1e428ffa0d785cbcb8f44837085b,0,0,0,0,0,0,None
caf88774f673774079c681d77d2314c986431104,0,0,0,0,0,0,None
f454d5a85d4a57bb17082c788084ccc64f1f7397,0,0,0,0,0,0,None
cef96a6f3c071cd7389e76098c00edf1c5ba0159,0,0,0,0,0,0,None
e69139df12785b856aa4575f15c63689ca3bbc46,0,0,0,0,0,0,None
82f48a4e23170c4171a0be7cd6a57bd909c6e27a,0,0,0,0,0,0,None
a5c5385608f94427e641dc0461cf6add4454bcf1,0,0,0,0,0,0,None
42080043d7b54aaefd8f49232cd4520dced53d05,0,0,0,0,0,0,None
d5a24857cf28476341ea3ddc7ecaf9a5247abecf,0,0,0,0,0,0,None
99e012509ec8ca8c19045bd4db2ec941424d840e,0,0,0,0,0,0,None
6563b5a5f30bdf91d2ee35e9305513bc38542b54,0,0,0,0,0,0,None
4c4de08c5d01db38c315d7783f6fb77a980d00c5,0,0,0,0,0,0,None
5c68ae4b3f273500dbcfeb06832415d8704020d1,0,0,0,0,0,0,None
ef5e8c8bb6c395b530324cc421ba89e43277b67e,0,0,0,0,0,0,None
ea760d2c96e8be2024e88aedcbd5485dd6c1d869,0,0,0,0,0,0,None
a9531fdc1e8d3ebb6eb68315f819f06fd06b38f2,0,0,0,0,0,0,None
6a64fe0e02d002bc1a4d2dfa95baf348f3203f09,0,0,0,0,0,0,None
b17905a9cf474720e7523c0aa4d2b06e5730c765,0,0,0,0,0,0,None
a1689f631f83343f10fffa1c85068559f80d2076,0,0,0,0,0,0,None
cdbffbb0c5c101749a9420a734e2140e1d7c1018,0,0,0,0,0,0,None
0f39722d50cc0b3254955faeb8897335a5f56a7b,0,0,0,0,0,0,None
565907dbf67632336fc6bfee4c77f4f4c21635b4,0,0,0,0,0,0,None
e588fab1f8ad95ad5df437aec577df5e19070532,0,0,0,0,0,0,None
d076db5ca776b06c7acf4dac97387d9f5f509055,0,0,0,0,0,0,None
a4e0350cc66bc9f19908ef77292fc060bd42cc04,0,0,0,0,0,0,None
42cde105987a68437a90533e68cb4501874b2e9f,0,0,0,0,0,0,None
c8fa1a9beee6acf662876fb15c1927123b34a914,0,0,0,0,0,0,None
43720846f0b67779c551d0af89a8ccbf9d392a93,0,0,0,0,0,0,None
f94dcffa5d49fccd7d203f0d8082a64a9bdf87f7,0,0,0,0,0,0,None
e76a89541aaad74833b288a349745db3b7e7eb5e,0,0,0,0,0,0,None
700e74851ebb0c0a8251c45264b2083cb2ad89c1,0,0,0,0,0,0,None
f463e9709a7dc83a2acbf0c405f21af9b3363740,0,0,0,0,0,0,None
29e39cbe7122ccccbc0620a3b55228c024806cda,0,0,0,0,0,0,None
4ee282a3b7abb51e3432475401ef4e39cf7d6611,0,0,0,0,0,0,None
b079926797ab97694ae8c1de7e85b1eb9400e870,0,0,0,0,0,0,None
8a8b98fecfed2855bc77e959801c1da58e632a68,0,0,0,0,0,0,None
626ead05c34d1d04637e1f8634ae783fea163d29,0,0,0,0,0,0,None
f1d975e8b819f73db004ade1e535f068a13b3ca0,0,0,0,0,0,0,None
8b1f23c9044f987c76a08792b37de54ca005b2e5,0,0,0,0,0,0,None
0560fb59b0c280666ded24e533899638ec56e11a,0,0,0,0,0,0,None
10cadc7df0b13e62f7ae4d5f0de002adbf7cfe99,0,0,0,0,0,0,None
0b5c02f03c155db36e17018bbbd1a7587cd3dbd6,0,0,0,0,0,0,None
5d07a71103c1f974e8af670168f87f81e851694f,0,0,0,0,0,0,None
b95fc235adb808e390a17bb89217b5884bceb2df,0,0,0,0,0,0,None
db6e9ae48a9fbd37d78b30aff29a25113c53e21b,0,0,0,0,0,0,None
42860c71a77f1438f1c0070bac1d2ea676a071fe,0,0,0,0,0,0,None
2837d8bb3889c11822f7aeb97f1b24f51268a842,0,0,0,0,0,0,None
803b90729d25fda253011c505d0189e8e63cc039,0,0,0,0,0,0,None
9bd8be01cb83dded4cf41af9deb3f582539c0a5d,53,0,0,1,15,37,"502, 20, 703, 22, 330, 327"
59a413e255c2602b96560d85e943a5bc37a4ab93,49,0,0,1,14,34,"502, 20, 703, 22, 330, 327"
40ffaf951e652dac92872792710be7cda00d8f68,49,0,0,1,14,34,"502, 20, 703, 22, 330, 327"
f284b998f56f4fc31b10f153b8a3dcc16ced738d,50,0,0,1,14,35,"502, 20, 703, 22, 330, 327"
